日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-12-31,'600009,上海机场,46.69,47.66,46.61,47.64,47.38,-0.69,-1.4563,9786408,459332967.0
2021-12-30,'600009,上海机场,47.38,47.83,45.92,46.3,46.49,0.89,1.9144,18387834,866309066.0
2021-12-29,'600009,上海机场,46.49,46.99,45.51,45.69,45.69,0.8,1.7509,19435397,903965822.0
2021-12-28,'600009,上海机场,45.69,46.22,45.35,46.0,45.99,-0.3,-0.6523,9145004,418212401.0
2021-12-27,'600009,上海机场,45.99,46.25,44.68,44.69,44.57,1.42,3.186,19564066,892778308.0
2021-12-24,'600009,上海机场,44.57,44.61,43.63,43.7,43.87,0.7,1.5956,9689223,428539579.0
2021-12-23,'600009,上海机场,43.87,44.52,43.55,44.22,44.11,-0.24,-0.5441,7588063,333267981.0
2021-12-22,'600009,上海机场,44.11,45.2,44.09,44.67,44.05,0.06,0.1362,9496265,422543185.0
2021-12-21,'600009,上海机场,44.05,44.21,43.22,43.36,43.46,0.59,1.3576,9457746,415654667.0
2021-12-20,'600009,上海机场,43.46,44.08,43.22,43.39,43.6,-0.14,-0.3211,9050415,394278172.0
2021-12-17,'600009,上海机场,43.6,44.33,43.5,44.31,44.3,-0.7,-1.5801,14249507,622499313.0
2021-12-16,'600009,上海机场,44.3,44.98,44.15,44.55,44.75,-0.45,-1.0056,11940101,529216825.0
2021-12-15,'600009,上海机场,44.75,45.7,44.55,45.62,45.6,-0.85,-1.864,12494309,561223897.0
2021-12-14,'600009,上海机场,45.6,45.65,45.08,45.4,45.88,-0.28,-0.6103,11298532,511635996.0
2021-12-13,'600009,上海机场,45.88,46.93,45.76,46.51,46.47,-0.59,-1.2696,15630577,719282434.0
2021-12-10,'600009,上海机场,46.47,47.03,46.0,46.95,47.03,-0.56,-1.1907,16855658,781779069.0
2021-12-09,'600009,上海机场,47.03,47.77,46.85,46.98,46.88,0.15,0.32,12338003,582572609.0
2021-12-08,'600009,上海机场,46.88,47.1,46.12,46.37,46.37,0.51,1.0998,12630238,590057161.0
2021-12-07,'600009,上海机场,46.37,47.47,46.15,46.3,45.71,0.66,1.4439,17144200,802487859.0
